date,rental
2021-08-13,98959
2021-08-14,94800
2021-08-15,96044
2021-08-16,96928
2021-08-17,67532
2021-08-18,73376
2021-08-19,98621
2021-08-20,96161
2021-08-21,42082
2021-08-22,88690
2021-08-23,44388
2021-08-24,36035
2021-08-25,81435
2021-08-26,76080
2021-08-27,75988
2021-08-28,96634
2021-08-29,90477
2021-08-30,98705
2021-08-31,35330
2021-09-01,70828
2021-09-02,97022
2021-09-03,97321
2021-09-04,101939
2021-09-05,100860
2021-09-06,58716
2021-09-07,28901
2021-09-08,80560
2021-09-09,99559
2021-09-10,97474
2021-09-11,102756
2021-09-12,100982
2021-09-13,101503
2021-09-14,100107
2021-09-15,96751
2021-09-16,100067
2021-09-17,100434
2021-09-18,99740
2021-09-19,100938
2021-09-20,101189
2021-09-21,57750
2021-09-22,69227
2021-09-23,99215
2021-09-24,99792
2021-09-25,91030
2021-09-26,101276
2021-09-27,96950
2021-09-28,79426
2021-09-29,33910
2021-09-30,97348
2021-10-01,67919
2021-10-02,96671
2021-10-03,104000
2021-10-04,65627
2021-10-05,97553
2021-10-06,58098
2021-10-07,51247
2021-10-08,52724
2021-10-09,84012
2021-10-10,39929
2021-10-11,65611
2021-10-12,97565
2021-10-13,97817
2021-10-14,100717
2021-10-15,96082
2021-10-16,75840
2021-10-17,58696
2021-10-18,55069
2021-10-19,60514
2021-10-20,68639
2021-10-21,75905
2021-10-22,81458
2021-10-23,85896
2021-10-24,82884
2021-10-25,81874
2021-10-26,82244
2021-10-27,80790
2021-10-28,92461
2021-10-29,94865
2021-10-30,79112
2021-10-31,88283
2021-11-01,76877
2021-11-02,73093
2021-11-03,76810
2021-11-04,73106
2021-11-05,88132
2021-11-06,87671
2021-11-07,90145
2021-11-08,18893
2021-11-09,25746
2021-11-10,40524
2021-11-11,53439
2021-11-12,55545
2021-11-13,62890
2021-11-14,76220
2021-11-15,69072
2021-11-16,63364
2021-11-17,58108
2021-11-18,69462
2021-11-19,68475
2021-11-20,67224
2021-11-21,35285
2021-11-22,46359
2021-11-23,49751
2021-11-24,53693
2021-11-25,56097
2021-11-26,50812
2021-11-27,56991
2021-11-28,57169
2021-11-29,61762
2021-11-30,16831
2021-12-01,45492
2021-12-02,45649
2021-12-03,45215
2021-12-04,45990
2021-12-05,51393
2021-12-06,50552
2021-12-07,57897
2021-12-08,59956
2021-12-09,50143
2021-12-10,33782
2021-12-11,49517
2021-12-12,44675
2021-12-13,44993
2021-12-14,42521
2021-12-15,44446
2021-12-16,49094
2021-12-17,38997
2021-12-18,30542
2021-12-19,39756
2021-12-20,44663
2021-12-21,48515
2021-12-22,46009
2021-12-23,47714
2021-12-24,29770
2021-12-25,38685
2021-12-26,37752
2021-12-27,37899
2021-12-28,35497
2021-12-29,39526
2021-12-30,40328
2021-12-31,37986
